año,trimestre,provincia,banda_ancha_fija,dial_up,total
2023,3,Buenos Aires,4.962.337,5.9,4.968.237
2023,3,Capital Federal,1.465.934,2.05,1.467.984
2023,3,Catamarca,74.354,1.0,74.355
2023,3,Chaco,142.141,5.0,142.146
2023,3,Chubut,167.211,857.0,168.068
2023,3,Córdoba,1.069.271,63.0,1.069.334
2023,3,Corrientes,159.826,3.0,159.829
2023,3,Entre Ríos,293.273,20.0,293.293
2023,3,Formosa,61.314,0.0,61.314
2023,3,Jujuy,117.377,0.0,117.377
2023,3,La Pampa,119.759,162.0,119.921
2023,3,La Rioja,87.697,4.0,87.701
2023,3,Mendoza,297.292,730.0,298.022
2023,3,Misiones,197.135,0.0,197.135
2023,3,Neuquén,163.834,439.0,164.273
2023,3,Río Negro,162.970,515.0,163.485
2023,3,Salta,206.228,5.0,206.233
2023,3,San Juan,103.483,247.0,103.730
2023,3,San Luis,148.751,165.0,148.916
2023,3,Santa Cruz,47.800,187.0,47.987
2023,3,Santa Fe,900.246,106.0,900.352
2023,3,Santiago Del Estero,121.926,2.0,121.928
2023,3,Tierra Del Fuego,58.426,305.0,58.731
